,crypto,price change from previous day
0,Celsius,-0.003053521368504342
1,IOTA,0.003491001965903399
2,Axie Infinity,0.021081177760823255
3,chainlink,0.0030017634039299166
4,PAX Gold,0.0005901879157047411
5,Hedera,0.0076357564018212755
6,bitcoin cash,0.01146049770159499
7,Kava,-0.0034793125293268615
8,Elrond,0.007254700686257364
9,Helium,0.025613786893762917
10,Internet Computer,7.305989129235968e-05
11,STEPN,0.005104264599637403
12,xrp,0.001359261867817756
13,Theta Network,0.00582662551514891
14,Bitcoin Gold,0.01587643926668152
15,Gnosis,-0.0038460685678538215
16,near protocol,-0.0002159586180522143
17,Synthetix,0.003230775483280678
18,monero,0.05216697820714284
19,eCash,-0.0019896358717232943
20,Flow,0.001550615676470133
21,KuCoin Token,-0.0029651786857043338
22,Celo,0.034755091264809974
23,Zilliqa,0.001188488393437212
24,Convex Finance,-0.017924223128137438
25,solana,0.007613137561458467
26,Holo,0.037038609836928624
27,BitTorrent (New),0.007779905810293698
28,Waves,-0.005922480850766015
29,uniswap,-0.0016885024504650237
30,Neutrino USD,0.0007792380134934849
31,Quant,-0.0006222677085259592
32,polkadot,-0.003400180272759225
33,ethereum classic,0.011614255572274747
34,The Graph,0.7883208487207332
35,Loopring,0.009899764110377756
36,Aave,0.002594777886763316
37,Zcash,-0.004960006061190079
38,The Sandbox,0.011487961276088194
39,Basic Attention Token,0.03413667157292366
40,dogecoin,0.07435803102683618
41,Klaytn,-0.000831599448221276
42,Binance USD,8.779497258532768e-05
43,Kusama,0.0033948224649948773
44,Shiba Inu,-0.002483085653326535
45,Neo,-0.0033902691046480177
46,unus sed leo,0.0013910163466414034
47,cosmos,0.018000742773117123
48,NEM,-0.000368265655641439
49,Lido DAO,0.07785619368870636
50,Decentraland,-0.006521879098544873
51,Cronos,0.030247999939895465
52,stellar,0.011342278253500943
53,Algorand,-0.0029911330285720484
54,Arweave,0.02345922586232887
55,EOS,0.0024164859815082335
56,PancakeSwap,-0.022516791077408012
57,Mina,-0.0054389751737816084
58,Curve DAO Token,-0.008810946945994262
59,Bitcoin SV,0.06726636737585068
60,tether,-0.0006971710175477507
61,Decred,0.0012397477165937434
62,Pax Dollar,-0.0005685758271267951
63,THORChain,-0.0066003181946681835
64,polygon,0.0029224762356618913
65,ethereum,0.01552442521875712
66,Bitcoin BEP2,0.03694730257769499
67,VeChain,0.0062038056610513904
68,1inch,0.011255517601966858
69,Fei USD,0.0020295449774250665
70,litecoin,-0.007870151124767119
71,Qtum,0.011019355884435452
72,Trust Wallet Token,0.07831650972366333
73,bitcoin,-0.005554098286329004
74,cardano,-0.0008112632690864324
75,Stacks,0.0019061111307379576
76,Dash,-0.0038444895231524363
77,Enjin Coin,0.007703671030318461
78,usd coin,6.511455048557732e-05
79,Tezos,-0.0019887606689436175
80,Huobi Token,0.001895428087798849
81,Nexo,0.008591747544415365
82,ftx token,-0.0037934125571658984
83,dai,-0.000800257913393231
84,TrueUSD,0.0009565075639890058
85,tron,-0.0031136638048812953
86,Fantom,0.024410277133498224
87,BNB,0.005164374528102568
88,Chiliz,-0.0009322214583509061
89,Filecoin,0.005726583827403108
90,Gala,-0.01952023631450049
91,Maker,0.002562628867624597
92,OKB,-0.0006943107485591918
93,avalanche,-0.0012454373033502413
